sensors,rawmsg,mintime,maxtime,msgcount,icao24,nicsuppla,hcr,nic,survstatus,nicsupplb,odd,baroalt,lat,lon,alt,nicsupplc,groundspeed,gsresolution,heading,timeflag,surface,hour
"[(serial: -1408230390, mintime: 1705251895.312, maxtime: 1705251895.312)]",8da4028559b406635c6593ddc156,1705251895.312,1705251895.312,1,a40285,False,185.2,9,0,False,True,True,34.15137339446504,-81.0120964050293,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251895.855, maxtime: 1705251895.855)]",8da4028559b402c4a1f261194813,1705251895.855,1705251895.855,1,a40285,False,185.2,9,0,False,False,True,34.152099609375,-81.01178227638712,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251899.29, maxtime: 1705251899.29)]",8da4028559b40663ee65ac4ad460,1705251899.29,1705251899.29,1,a40285,False,185.2,9,0,False,True,True,34.15477170782574,-81.01066589355469,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251899.802, maxtime: 1705251899.802)]",8da4028559b406640065af011593,1705251899.802,1705251899.802,1,a40285,False,185.2,9,0,False,True,True,34.1551906779661,-81.01049423217773,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251900.349, maxtime: 1705251900.349)]",8fa4028559b406641265b288477a,1705251900.349,1705251900.349,1,a40285,False,185.2,9,0,False,True,True,34.15560964810646,-81.01032257080078,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251901.448, maxtime: 1705251901.448)]",8fa4028559b406643465b91e5aab,1705251901.448,1705251901.448,1,a40285,False,185.2,9,0,False,True,True,34.15640103614936,-81.00992202758789,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251901.869, maxtime: 1705251901.869)]",8fa4028559b402c56ff285a58ce7,1705251901.869,1705251901.869,1,a40285,False,185.2,9,0,False,False,True,34.15681457519531,-81.00976437938454,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251902.523, maxtime: 1705251902.523)]",8fa4028559b402c57ff2897880ad,1705251902.523,1705251902.523,1,a40285,False,185.2,9,0,False,False,True,34.15718078613281,-81.00954016860652,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251905.147, maxtime: 1705251905.147)]",8fa4028559b402c5dff29bd704ea,1705251905.147,1705251905.147,1,a40285,False,185.2,9,0,False,False,True,34.15937805175781,-81.00853122010523,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251906.254, maxtime: 1705251906.254)]",8fa4028559b40664d665d922302f,1705251906.254,1705251906.254,1,a40285,False,185.2,9,0,False,True,True,34.160171767412606,-81.00809097290039,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251907.331, maxtime: 1705251907.331)]",8fa4028559b402c627f2ab3c44b9,1705251907.331,1705251907.331,1,a40285,False,185.2,9,0,False,False,True,34.16102600097656,-81.007634376993,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251908.553, maxtime: 1705251908.553)]",8fa4028559b406653265ece5f1f9,1705251908.553,1705251908.553,1,a40285,False,185.2,9,0,False,True,True,34.16231317035222,-81.00700378417969,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251909.071, maxtime: 1705251909.071)]",8fa4028559b406654065ef137102,1705251909.071,1705251909.071,1,a40285,False,185.2,9,0,False,True,True,34.16263903601695,-81.00683212280273,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251910.055, maxtime: 1705251910.055)]",8fa4028559b406656465f761cc9b,1705251910.055,1705251910.055,1,a40285,False,185.2,9,0,False,True,True,34.163476976297666,-81.00637435913086,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251912.824, maxtime: 1705251912.824)]",8fa4028559b40665be660bbe84ec,1705251912.824,1705251912.824,1,a40285,False,185.2,9,0,False,True,True,34.16557182699947,-81.00522994995117,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251913.472, maxtime: 1705251913.472)]",8fa4028559b402c701f2db7c9e4d,1705251913.472,1705251913.472,1,a40285,False,185.2,9,0,False,False,True,34.166015625,-81.00494384765625,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251914.423, maxtime: 1705251914.423)]",8fa4028559b402c725f2e2f0166d,1705251914.423,1705251914.423,1,a40285,False,185.2,9,0,False,False,True,34.166839599609375,-81.00455147879461,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251918.993, maxtime: 1705251918.993)]",8da4028559b4066690663b746726,1705251918.993,1705251918.993,1,a40285,False,185.2,9,0,False,True,True,34.17045981197034,-81.00248336791992,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251919.52, maxtime: 1705251919.52)]",8da4028559940666a0663f4811f0,1705251919.52,1705251919.52,1,a40285,False,185.2,9,0,False,True,True,34.17083222987288,-81.00225448608398,2194.56,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251920.591, maxtime: 1705251920.591)]",8da40285599402c7f9f3140b44c2,1705251920.591,1705251920.591,1,a40285,False,185.2,9,0,False,False,True,34.17169189453125,-81.00174884406886,2194.56,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251921.687, maxtime: 1705251921.687)]",8da40285599402c81df31c6a0954,1705251921.687,1705251921.687,1,a40285,False,185.2,9,0,False,False,True,34.172515869140625,-81.00130042251277,2194.56,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251922.281, maxtime: 1705251922.281)]",8da4028559b402c82df321a8da8f,1705251922.281,1705251922.281,1,a40285,False,185.2,9,0,False,False,True,34.172882080078125,-81.0010201590402,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251923.806, maxtime: 1705251923.806)]",8da4028559b402c861f32d7b998b,1705251923.806,1705251923.806,1,a40285,False,185.2,9,0,False,False,True,34.174072265625,-81.00034752670598,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251924.311, maxtime: 1705251924.311)]",8da4028559b406673c666455d20d,1705251924.311,1705251924.311,1,a40285,False,185.2,9,0,False,True,True,34.174463304422666,-81.00013732910156,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251924.415, maxtime: 1705251924.415)]",8da4028559b406674a66679403f2,1705251924.415,1705251924.415,1,a40285,False,185.2,9,0,False,True,True,34.174789170087394,-80.99996566772461,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251926.055, maxtime: 1705251926.055)]",8da4028559b40667786673174ba7,1705251926.055,1705251926.055,1,a40285,False,185.2,9,0,False,True,True,34.1758598715572,-80.9992790222168,2164.08,False,,,,False,False,1705251600
"[(serial: -1408230390, mintime: 1705251927.159, maxtime: 1705251927.159)]",8da4028559b40667a4667df35405,1705251927.159,1705251927.159,1,a40285,False,185.2,9,0,False,True,True,34.176884020789196,-80.99870681762695,2164.08,False,,,,False,False,1705251600
