icao24,callsign,src,dest,avg_velocity,avg_geo_altitude,max_geo_altitude,min_geo_altitude,num_state_updates
a69d06,N525RP  ,LIPR,EVRA,109.5393089420623,2582.7877067082673,6865.620000000001,327.66,1924
aa72f5,SWA1196 ,,,232.67331010921066,11970.450546473661,12527.28,11430.0,2145
ae68e0,        ,,,97.69670364160055,1664.1284640119397,31904.940000000002,114.3,2071573
ada54c,N979CF  ,,,171.53960852190693,5243.525790697652,7437.120000000001,2644.14,212420
a0174b,N105AD  ,,,230.79714281598692,11988.697822999991,12108.180000000002,1577.3400000000001,955528
a99f2d,N719TH  ,,,52.20975492667897,1126.7246106870516,1676.4,411.48,2040325
ab324a,EJA820  ,,,212.33400379703204,13631.110018976502,13647.420000000002,13616.940000000002,484704
a9a4e2,JIA5026 ,,,133.12706764378348,1940.1428661088091,4145.28,960.1200000000001,10516
a70bc9,JIA5120 ,,,229.49721111979096,6128.573984084821,9067.8,1432.5600000000002,13195
a64d06,N505FF  ,,,269.4152927212832,9203.898196721302,9204.960000000001,9197.34,15372
a5b680,N4674   ,,,214.53993156687727,13296.969870551095,13632.180000000002,12931.140000000001,721206
ad675e,N963AU  ,,,46.56241920494952,1585.5909962168878,1645.92,1303.0200000000002,1065792
a17f89,N196MA  ,,,102.10619749492622,4053.593922164757,4259.58,937.2600000000001,1766349
acab3c,N915WK  ,,,218.8642615716711,13503.800079893386,13609.320000000002,13380.720000000001,243324
abb00c,N852PA  ,,,50.00997148223107,1015.6097811484008,1173.48,312.42,2736695
a4b8f6,N403ND  ,,,228.28017793624826,7535.9323628979255,11582.4,2743.2000000000003,629628
a68ce2,N521CL  ,,,136.7061050559627,4993.410776376932,9204.96,213.36,440316
a43423,DAL31   ,,,133.8029984181938,2708.3783720930232,5196.840000000001,266.7,23508
a5b42f,LXJ467  ,,,157.63944733473608,7772.870274007476,29778.960000000003,83.82,456885
a63f2e,N501RR  ,,,137.7200430829296,2625.4325988142327,33032.7,137.16000000000003,116451
a5ad90,LBQ783  ,,,128.208731753583,4616.580999543701,25458.420000000002,495.3,100809
a798ad,WMN589  ,,,70.20977145891013,711.9624765478297,1181.1,617.22,9594
a9e9ae,N738KK  ,,,47.324009412715625,901.0511526479937,30266.64,266.7,69462
a40d7a,DAL1281 ,,,167.56648028456135,6817.193161072252,10492.740000000002,274.32,48168
a7faad,JBU2330 ,,,269.41333507195486,11722.420750853204,11765.28,10408.92,1174
aa7315,SWA802  ,,,115.21735179906524,2601.981105527634,5402.580000000001,274.32000000000005,21437
aa43c4,RPA3496 ,,,135.37571378832163,2059.970238095239,3177.54,723.9000000000001,756
a3d4c6,DAL1368 ,,,258.10973299713083,9334.271906873708,10363.2,5158.74,32508
a68e7c,AAL2555 ,,,245.1660329434095,9467.067123287621,11148.06,487.68,2046
a2c93f,EDV5475 ,,,134.56758656934662,2935.3784730145017,4015.7400000000002,266.7,16215
aca01a,SWA804  ,,,208.99386420768522,11636.117065404596,11750.04,5913.12,4652
ab967b,DAL1039 ,,,112.80699225838372,2569.823911439102,5364.4800000000005,281.94000000000005,15525
a91349,NKS788  ,,,260.06221000051323,9502.271631477919,9822.18,9174.480000000001,9378
acf89f,DAL2634 ,,,175.87574296338565,5847.88181191237,20528.28,274.32,33480
a86925,SKW3810 ,,,185.28343808103696,5016.9514940021845,8602.98,266.7,18216
acca85,NKS799  ,,,262.31722976204975,12345.369999999899,12390.12,8107.68,763
a9360e,SKW4048 ,,,150.7436884680969,3842.9213975155394,9395.460000000001,266.7,3007
a449a1,UAL2233 ,,,276.64408696023474,11080.420610263474,11117.58,11041.38,721
acfa52,EDV4938 ,,,165.5030884845977,9920.68243902441,9928.86,9913.62,164
4d20d7,VJT842  ,LSGG,TXKF,284.1325826335498,13006.44957303368,13022.580000000002,12976.86,445
a9a91a,AAL483  ,,,110.47580990113502,1471.3920524017503,1485.9,1379.22,229
a3f133,DAL378  ,,,250.1910231717219,6523.968676964397,10264.14,274.32,2157
a94c2a,PDT5752 ,,,106.72445415748486,1174.7499999999998,1181.1,1165.86,384
a7b832,JBU66   ,,,272.13959172270785,11740.236358209035,13693.140000000001,11704.320000000002,2013
ab525f,AAL2085 ,,,107.19752270340327,1350.4718181818184,1478.28,1165.86,352
a769a3,JIA5389 ,,,103.09555636392025,1241.1807692307693,1295.3999999999999,1173.48,208
ac8b43,EDV4911 ,,,111.40659028934006,2575.768466522698,3893.82,266.7,4228
a3fb94,N356F   ,LFPN,LFAT,138.39051280066445,7907.888147438831,8595.36,4808.22,6280
a93d9f,DAL2329 ,,,262.8436068488662,7550.239367333729,38008.560000000005,274.32,4562
abf351,SWA1881 ,,,152.36497218840378,11845.268474576254,11849.100000000002,11841.480000000001,177
a022c4,DAL1508 ,,,138.44462080484985,2944.1370055452903,5623.56,274.32,2176
a8fa21,N678HB  ,LEMD,LPCS,195.0687224927235,14192.313149171148,14234.16,3253.7400000000002,907
a07c13,N130KA  ,,,114.77555429123103,1724.6379130434325,37597.08,792.48,1061280
a1636e,N189PP  ,,,214.53964629094588,12587.161085876638,27797.760000000002,1455.42,2616032
a9e99d,N738JT  ,,,39.96582496514534,1145.5019645556824,14447.52,213.36,1436113
aa2a54,EJA754  ,,,264.40876123302354,12998.854570636226,13014.960000000001,12976.86,502151
a4fa98,N42PN   ,,,97.00608318393056,3677.569474767843,8260.08,312.42,1656644
aaecb8,N80277  ,,,48.10149157238519,783.7664850138264,1173.48,259.08,3395484
aac5ec,SCX3029 ,,,209.2647382508098,12656.584880785458,12687.3,12626.34,20677
a5bfe9,N47MW   ,,,216.8249989066963,11652.644137931484,37673.28,1165.8600000000001,1048746
a18978,N1989B  ,,,234.5375095871864,10123.773113342722,21869.4,106.68,449995
a11bba,N1701T  ,,,49.124300041304465,970.3851682071496,1356.3600000000001,396.24,1942190
a684fb,N519XR  ,,,262.73319370178626,10004.209371657507,12908.28,1173.48,619087
a9892a,N713WD  ,,,292.6925780142747,14027.255833333773,14036.04,14013.18,78336
a54f68,N441MA  ,,,55.55563970738679,1006.2859557154416,1676.4,304.8,4729340
ac6d17,N90CT   ,,,120.27026342207107,5746.913728223066,14356.080000000002,2590.8,233856
a19831,N20106  ,,,41.21139906030396,910.4547807934853,1356.3600000000001,411.48,3165232
a5ade3,WUP465  ,,,162.66327493255707,5744.682009291187,25313.64,99.06000000000002,1590588
4d20d7,VJT842  ,EGSS,LKPR,284.1325826335498,13006.44957303368,13022.580000000002,12976.86,1780
a27929,N259CK  ,,,107.9595137969704,1950.0547271682983,6141.72,335.28000000000003,391872
a8df2c,DAL1249 ,,,147.3831466207023,6898.285792610271,11109.96,274.32,52955
a67445,N515CS  ,,,240.77438858375461,14181.958841309663,14249.400000000001,1996.44,311373
a2dcfb,N284BL  ,,,55.9423968279874,2644.4370379833113,2857.5,1927.8600000000001,2874861
ab0da6,MTN8502 ,,,100.7042155002351,1939.4297310514573,2979.42,411.48,126976
ac537f,ASH6032 ,,,83.21353165811269,1177.437348066299,1181.1,1165.8600000000001,3077
a35701,EDV5133 ,,,125.80073781370834,5866.8027733119125,10050.78,274.32,3170
ab7647,TMP3133 ,,,231.52987082015508,13125.587297297154,13601.7,12908.28,101232
a5279e,N431JA  ,,,241.13452932646717,14065.598551128433,14234.16,10774.68,161685
4d20d7,VJT842  ,LFMN,LCLK,284.13258263354976,13006.44957303368,13022.580000000002,12976.86,1335
abbee3,DAL55   ,,,112.39245983371151,6553.9990771811945,37078.920000000006,274.32000000000005,88587
a9d86c,RPA3571 ,,,266.3399749021522,9524.626816677715,9784.080000000002,4442.460000000001,42308
a21142,EDV4930 ,,,165.23311725760124,5233.477186234824,10302.24,266.7,41340
a3dc34,DAL1072 ,,,138.81862939982923,6877.702746050976,34625.280000000006,274.32000000000005,31266
4d20d7,VJT842  ,LEMD,GCRR,284.13258263354976,13006.44957303368,13022.580000000002,12976.86,1335
a3a9b6,EDV5124 ,,,142.1403051490865,4065.7686910994253,13548.36,266.7,26145
acd2d3,EDV5374 ,,,112.05469890246734,2104.9645143036196,17975.58,266.7,27858
a70f80,JIA5543 ,,,91.41931032397282,1167.727152317874,1173.48,1158.24,3473
ab5383,AAL1020 ,,,206.6917424491023,11635.090133779408,11750.04,11521.44,7185
ac5993,N895TC  ,,,65.02240625385036,1152.474312638615,28247.34,129.54,137864
a067c2,N125RF  ,,,72.33987937260478,1775.082819548996,1783.0800000000002,1767.8400000000001,78498
a3725a,DAL2627 ,,,182.5668585714286,5082.729645042838,30899.1,274.32,13512
