sensors,rawmsg,mintime,maxtime,msgcount,icao24,emittercategory,ftc,identity,hour
"[(serial: -1408230854, mintime: 1705252498.843, maxtime: 1705252498.843)]",8da372ae213b3cb11d38205b7b75,1705252498.843,1705252498.843,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408230854, mintime: 1705252543.672, maxtime: 1705252543.672)]",8da372ae213b3cb11d38205b7b75,1705252543.672,1705252543.672,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408230854, mintime: 1705252553.445, maxtime: 1705252553.445)]",8da372ae213b3cb11d38205b7b75,1705252553.445,1705252553.445,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408230854, mintime: 1705252558.352, maxtime: 1705252558.352)]",8da372ae213b3cb11d38205b7b75,1705252558.352,1705252558.352,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408230854, mintime: 1705252573.006, maxtime: 1705252573.006)]",8da372ae213b3cb11d38205b7b75,1705252573.006,1705252573.006,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408230854, mintime: 1705252578.486, maxtime: 1705252578.486)]",8da372ae213b3cb11d38205b7b75,1705252578.486,1705252578.486,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408230854, mintime: 1705252613.362, maxtime: 1705252613.362)]",8da372ae213b3cb11d38205b7b75,1705252613.362,1705252613.362,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408230854, mintime: 1705252643.436, maxtime: 1705252643.436)]",8da372ae213b3cb11d38205b7b75,1705252643.436,1705252643.436,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408230854, mintime: 1705252703.257, maxtime: 1705252703.257)]",8da372ae213b3cb11d38205b7b75,1705252703.257,1705252703.257,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408232390, mintime: 1705252951.895, maxtime: 1705252951.895)]",8da372ae213b3cb11d38205b7b75,1705252951.895,1705252951.895,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408230767, mintime: 1705253247.645, maxtime: 1705253247.645)]",8da372ae213b3cb11d38205b7b75,1705253247.645,1705253247.645,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408229774, mintime: 1705253597.267, maxtime: 1705253597.267), (serial: -1408232390, mintime: 1705253597.294, maxtime: 1705253597.294)]",8da842a92338b4f2df0da094c4b8,1705253597.267,1705253597.294,1,a842a9,3,4,NKS2706 ,1705251600
"[(serial: -1408229774, mintime: 1705253742.772, maxtime: 1705253742.772)]",8da842a92338b4f2df0da094c4b8,1705253742.772,1705253742.772,1,a842a9,3,4,NKS2706 ,1705251600
"[(serial: -1408232811, mintime: 1705253983.597, maxtime: 1705253983.597)]",8da842a92338b4f2df0da094c4b8,1705253983.597,1705253983.597,1,a842a9,3,4,NKS2706 ,1705251600
"[(serial: -1408229774, mintime: 1705254012.962, maxtime: 1705254012.962), (serial: -1408232811, mintime: 1705254013.0, maxtime: 1705254013.0)]",8da842a92338b4f2df0da094c4b8,1705254012.962,1705254013.0,1,a842a9,3,4,NKS2706 ,1705251600
"[(serial: -1408231493, mintime: 1705254048.257, maxtime: 1705254048.257), (serial: -1408232811, mintime: 1705254048.278, maxtime: 1705254048.278)]",8da842a92338b4f2df0da094c4b8,1705254048.257,1705254048.278,1,a842a9,3,4,NKS2706 ,1705251600
"[(serial: -1408229774, mintime: 1705254288.832, maxtime: 1705254288.832), (serial: -1408231493, mintime: 1705254288.737, maxtime: 1705254288.737), (serial: -1408232811, mintime: 1705254288.882, maxtime: 1705254288.882), (serial: -1408232854, mintime: 1705254288.819, maxtime: 1705254288.819)]",8da842a92338b4f2df0da094c4b8,1705254288.737,1705254288.882,1,a842a9,3,4,NKS2706 ,1705251600
"[(serial: -1408231493, mintime: 1705254343.319, maxtime: 1705254343.319), (serial: -1408232811, mintime: 1705254343.359, maxtime: 1705254343.359)]",8da842a92338b4f2df0da094c4b8,1705254343.319,1705254343.359,1,a842a9,3,4,NKS2706 ,1705251600
"[(serial: -1408231432, mintime: 1705255176.919, maxtime: 1705255176.919)]",8da7178c23041331d30e60d0aba5,1705255176.919,1705255176.919,1,a7178c,3,4,AAL1409 ,1705251600
"[(serial: -1408229629, mintime: 1705255187.321, maxtime: 1705255187.321)]",8da7178c23041331d30e60d0aba5,1705255187.321,1705255187.321,1,a7178c,3,4,AAL1409 ,1705251600
"[(serial: -1408235760, mintime: 1705251678.368, maxtime: 1705251678.368)]",8da372ae213b3cb11d38205b7b75,1705251678.368,1705251678.368,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408235760, mintime: 1705252079.561, maxtime: 1705252079.561)]",8da372ae213b3cb11d38205b7b75,1705252079.561,1705252079.561,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408235760, mintime: 1705252269.116, maxtime: 1705252269.116)]",8da372ae213b3cb11d38205b7b75,1705252269.116,1705252269.116,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408230854, mintime: 1705252417.903, maxtime: 1705252417.903)]",8da372ae213b3cb11d38205b7b75,1705252417.903,1705252417.903,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408230854, mintime: 1705252417.903, maxtime: 1705252417.903)]",8da372ae213b3cb11d38205b7b75,1705252417.903,1705252417.903,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408230854, mintime: 1705252448.468, maxtime: 1705252448.468)]",8da372ae213b3cb11d38205b7b75,1705252448.468,1705252448.468,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408230854, mintime: 1705252488.514, maxtime: 1705252488.514)]",8da372ae213b3cb11d38205b7b75,1705252488.514,1705252488.514,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408230854, mintime: 1705252488.514, maxtime: 1705252488.514)]",8da372ae213b3cb11d38205b7b75,1705252488.514,1705252488.514,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408230854, mintime: 1705252518.825, maxtime: 1705252518.825)]",8da372ae213b3cb11d38205b7b75,1705252518.825,1705252518.825,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408230854, mintime: 1705252533.309, maxtime: 1705252533.309)]",8da372ae213b3cb11d38205b7b75,1705252533.309,1705252533.309,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408230854, mintime: 1705252568.142, maxtime: 1705252568.142)]",8da372ae213b3cb11d38205b7b75,1705252568.142,1705252568.142,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408230854, mintime: 1705252583.384, maxtime: 1705252583.384)]",8da372ae213b3cb11d38205b7b75,1705252583.384,1705252583.384,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408230854, mintime: 1705252588.268, maxtime: 1705252588.268)]",8da372ae213b3cb11d38205b7b75,1705252588.268,1705252588.268,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408230854, mintime: 1705252593.182, maxtime: 1705252593.182)]",8da372ae213b3cb11d38205b7b75,1705252593.182,1705252593.182,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408230854, mintime: 1705252598.068, maxtime: 1705252598.068)]",8da372ae213b3cb11d38205b7b75,1705252598.068,1705252598.068,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408230854, mintime: 1705252663.57, maxtime: 1705252663.57)]",8da372ae213b3cb11d38205b7b75,1705252663.57,1705252663.57,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408230854, mintime: 1705252683.108, maxtime: 1705252683.108)]",8da372ae213b3cb11d38205b7b75,1705252683.108,1705252683.108,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408230854, mintime: 1705252752.982, maxtime: 1705252752.982)]",8da372ae213b3cb11d38205b7b75,1705252752.982,1705252752.982,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408230854, mintime: 1705252762.782, maxtime: 1705252762.782)]",8da372ae213b3cb11d38205b7b75,1705252762.782,1705252762.782,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408232390, mintime: 1705252916.701, maxtime: 1705252916.701)]",8da372ae213b3cb11d38205b7b75,1705252916.701,1705252916.701,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408232390, mintime: 1705252956.887, maxtime: 1705252956.887)]",8da372ae213b3cb11d38205b7b75,1705252956.887,1705252956.887,1,a372ae,1,4,N321GS  ,1705251600
"[(serial: -1408232854, mintime: 1705253928.36, maxtime: 1705253928.36), (serial: -1408232811, mintime: 1705253928.294, maxtime: 1705253928.294), (serial: -1408232390, mintime: 1705253928.357, maxtime: 1705253928.357)]",8da842a92338b4f2df0da094c4b8,1705253928.294,1705253928.36,1,a842a9,3,4,NKS2706 ,1705251600
"[(serial: -1408231493, mintime: 1705254098.515, maxtime: 1705254098.515), (serial: -1408232811, mintime: 1705254098.688, maxtime: 1705254098.688), (serial: -1408232854, mintime: 1705254098.649, maxtime: 1705254098.649)]",8da842a92338b4f2df0da094c4b8,1705254098.515,1705254098.688,1,a842a9,3,4,NKS2706 ,1705251600
"[(serial: -1408231493, mintime: 1705254138.771, maxtime: 1705254138.771), (serial: -1408232811, mintime: 1705254138.956, maxtime: 1705254138.956)]",8da842a92338b4f2df0da094c4b8,1705254138.771,1705254138.956,1,a842a9,3,4,NKS2706 ,1705251600
"[(serial: -1408231493, mintime: 1705254143.923, maxtime: 1705254143.923), (serial: -1408232854, mintime: 1705254143.939, maxtime: 1705254143.939)]",8da842a92338b4f2df0da094c4b8,1705254143.923,1705254143.939,1,a842a9,3,4,NKS2706 ,1705251600
"[(serial: -1408231432, mintime: 1705254871.091, maxtime: 1705254871.091)]",8da842a92338b4f2df0da094c4b8,1705254871.091,1705254871.091,1,a842a9,3,4,NKS2706 ,1705251600
"[(serial: -1408231432, mintime: 1705254991.554, maxtime: 1705254991.554), (serial: -1408232082, mintime: 1705254991.588, maxtime: 1705254991.588)]",8da842a92338b4f2df0da094c4b8,1705254991.554,1705254991.588,1,a842a9,3,4,NKS2706 ,1705251600
